code,uri,label
(w/v),obo:UO_0000164,mass volume percentage
%,obo:UO_0000187,percent
%(v/v),obo:UO_0000165,volume percentage
1/AV,obo:UO_0000264,siemens
1/M,obo:UO_0000285,count per molar
1/Ms,obo:UO_0000282,count per molar second
1/nM,obo:UO_0000284,count per nanomolar
1/nMs,obo:UO_0000281,count per nanomolar second
1/s,obo:UO_0000092,turns per second
8-hydroxydeoxyguanosine,chebi:40304,8-hydroxydeoxyguanosine
8-isoprostane,chebi:33023,8-isoprostane
A,obo:UO_0000011,ampere
AAMA,chear:AAMA,N-Acetyl-S-(2-carbamoylethyl)-L-cysteine
Ag,chebi:30512,Silver
Al,chebi:28984,Aluminum
alpha,obo:UO_0000078,radian per second per second
AMA,chear:AMA,Mercapturic acids of acrolein and crotonaldehyde
AMCC,chear:AMCC,N-Acetyl-S-(N-methylcarbamoyl)-L-cysteine
amol,obo:UO_0000044,attomole
ANAT,chebi:2705,Anatabine
Ang,obo:UO_0000019,angstrom
Arsenic (V) Acid,chebi:18231,Arsenic (V) Acid
Arsenobetaine,chebi:82392,Arsenobetaine
Arsenocholine,pubchem:104820,Arsenocholine
Arsenous (III) Acid,chebi:49900,Arsenous ( III) Acid
As,chebi:27563,Arsenic
ATCA,chear:ATCA,2-Aminothiazoline-4-carboxylic acid
Au,chebi:29287,Gold
AU,obo:UO_0000269,absorbance unit
B,chebi:27560,Boron
Ba,chebi:32594,Barium
BAA1,chear:BAA1,1-hydroxybenz[a]anthacene
BAPT,chear:BAPT,Benzo[a]pyrene tetraol
BCP1,chear:BCP1,1-hydroxybenzo[c]-phenanthrene
BCP2,chear:BCP2,2-hydroxybenzo[c]-phenanthrene
BCP3,chear:BCP3,3-hydroxybenzo[c]-phenanthrene
BDE100,chear:BDE100,"2,2',4,4',6-Pentabromodiphenyl ether"
BDE153,chear:BDE153,"2,2',4,4',5,5'-Hexabromodiphenyl ether"
BDE154,chear:BDE154,"2,2',4,4',5,6'-Hexabromodiphenyl ether"
BDE17,chear:BDE17,"2,2',4'-Tribromodiphenyl ether"
BDE183,chear:BDE183,"2,2',3,4,4',5',6-Heptabromodiphenyl ether"
BDE209,chear:BDE209,"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether"
BDE28,chear:BDE28,"2,4,4'-Tribromodiphenyl ether"
BDE47,chear:BDE47,"2,2',4,4'-Tetrabromodiphenyl ether"
BDE66,chear:BDE66,"2,3',4,4'-Tetrabromodiphenyl ether"
BDE85,chear:BDE85,"2,2',3,4,4'-Pentabromodiphenyl ether"
BDE99,chear:BDE99,"2,2',4,4',5-Pentabromodiphenyl ether"
Be,chebi:30501,Beryllium
Bi,chebi:33301,Bismuth
BMA,chear:BMA,N-Acetyl-S-(benzyl)-L-cysteine
bp,obo:UO_0000244,base pair
BP3,chear:BP3,Benzophenone-3
BPA,chebi:33216,Bisphenol A
BPF,pubchem:75575,Bisphenol F
BPMA,chear:BPMA,N-Acetyl-S-(n-propyl)-L-cysteine
BPS,pubchem:6626,Bisphenol S
Bq,obo:UO_0000132,becquerel
BU,chear:BuccalCell,Buccal Cell
BuPB,chebi:88542,Butyl paraben
Byte,obo:UO_0000233,byte
BZ,chebi:16716,Benzene
BzPB,chebi:34571,Benzyl paraben
C,obo:UO_0000027,degree Celsius
C2H5Hg,chebi:33204,Ethyl mercury (C2H5Hg+)
CB,uberon:0012168,Cord Blood
cd,obo:UO_0000014,candela
Cd,chebi:22977,Cadmium
cd/m2,obo:UO_0000085,candela per square meter
cells per ml,obo:UO_0000201,cells per milliliter
CEMA,chear:CEMA,N-Acetyl-S- (2-carboxyethyl)-L-cysteine
CFRM,chebi:35255,Chloroform
cfu,obo:UO_0000210,colony forming unit
cfu/ml,obo:UO_0000213,colony forming unit per milliliter
CH3Hg,chebi:49747,Methyl mercury (CH3Hg+)
chi,obo:UO_0000076,mole fraction
CHRY1,pubchem:44284,1-hydroxychrysene
CHRY2,pubchem:47782,2-hydroxychrysene
CHRY3,chear:CHRY3,3-hydroxychrysene
CHRY4,pubchem:44286,4-hydroxychrysene
CHRY6,pubchem:37766,6-hydroxychrysene
Ci,obo:UO_0000133,curie
cm,obo:UO_0000015,centimeter
cM,obo:UO_0000326,centiMorgan
cm2,obo:UO_0000081,square centimeter
cm3,obo:UO_0000097,cubic centimeter
cm3/mol,obo:UO_0000090,cubic centimeter per mole
Co,chebi:27638,Cobalt
COT,chebi:68641,Cotinine
COTT,chear:COTT,Cotinine (total)
count,obo:UO_0000189,count unit
cpm,obo:UO_0000148,counts per minute
cpul,obo:UO_0000316,cells per microliter
cR,obo:UO_0000327,centiRay
Cr,chebi:28073,Chromium
CRE,chebi:16737,Creatinine
CRP,uniprot:P02741,C-reactive protein
Cs,chebi:30514,Caesium
CTET,chebi:27385,Carbon Tetrachloride
Cu,chebi:28694,Copper
curie/l,obo:UO_0000320,curie per liter
CYMA,chear:CYMA,N-Acetyl-S-(2-cyanoethyl)-L-cysteine
D,sio:DeoxyribonucleicAcid,DNA
Da,obo:UO_0000221,dalton
dB,obo:UO_0000259,decibel
DCP24,chebi:16738,"2,4-Dichlorophenol"
DCP25,chebi:27929,"2,5-Dichlorophenol"
DCVMA12,chear:DCVMA12,"N-Acetyl-S-(1,2-dichlorovinyl)-L-cysteine"
DCVMA22,chear:DCVMA22,"N-Acetyl-S-(2,2-dichlorovinyl)-L-cysteine"
DE12,chebi:27789,"1,2-Dichloroethane"
DEDP,chear:DEDP,diethyldithiophosphate
